id HYSS litter adj_age adj_bf
DDCFJYA17775702 11201741 11177757 144.02713559322 12.8267868641339
DDCFJYA17739603 11201741 11177396 151.354137614679 11.0628254078445
DDCFJYA17669405 11201731 11176694 159.930776937618 11.3787932881114
DDCFJYA18369805 11201821 11183698 146.566078085642 8.47614488591032
DDCFJYA16365502 11201711 11163655 141.592877366997 14.5111831995902
DDCFJYA17775803 11201741 11177758 136.146915057915 10.1747458376308
DDCFJYA16054801 11201641 11160548 148.524687022901 9.56772334293948
DDCFJYA18833003 11201911 11188330 149.441972027972 12.3289124668435
DDCFJYA16603603 11201621 11166036 145.703612676056 13.8296395193591
DDCFJYA16690308 11201631 11166903 144.197216783217 13.209549071618
DDCFJYA18728607 11201941 11187286 154.37368052348 9.36447774349934
DDCFJYA16124301 11201741 11161243 150.963354243542 12.0474528960223
DDCFJYA18451707 11201831 11184517 169.823838076546 10.8067320140559
DDCFJYA18524303 11201831 11185243 141.880160220994 12.7865202346923
DDCFJYA17052704 11201841 11170527 145.132801652893 15.0292360892801
DDCFJYA18493403 11201831 11184934 167.800178861789 12.1834862385321
DDCFJYA18609103 11201832 11186091 150.461483091787 15.4813902445801
DDCFJYA17730816 11201742 11177308 141.514536977492 12.160171010467
DDCFJYA16178517 11201742 11161785 158.088754237288 12.6796047774598
DDCFJYA16200512 11201742 11162005 144.941426356589 15.5245215033293
DDCFJYA18572407 11201832 11185724 146.561471698113 12.6950433243976
DDCFJYA17710112 11201732 11177101 143.837307189542 14.8222192448042
DDCFJYA17692311 11201732 11176923 144.703057761733 14.5010539464439
DDCFJYA17027513 11201842 11170275 157.295210526316 15.1742818136927
DDCFJYA18644008 11201842 11186440 158.472439842209 14.801664132375
DDCFJYA16230015 11201712 11162300 143.525220183486 15.6517566817353
DDCFJYA18690811 11201842 11186908 182.396340314136 18.0850137856851
DDCFJYA18791408 11201942 11187914 145.866882352941 10.9041667753803
DDCFJYA18358406 11201822 11183584 159.752964285714 11.6607257836042
DDCFJYA17250218 11201812 11172502 187.556561719834 10.9145610530027
DDCFJYA18443709 11201832 11184437 150.811442477876 12.4508133230054
DDCFJYA18570210 11201832 11185702 159.298113402062 15.4434327608124
DDCFJYA18626408 11201832 11186264 161.494543638276 14.6888864341591
DDCFJYA18796805 11201912 11187968 143.045253915911 13.2905287762063
DDCFJYA17177514 11201812 11171775 166.742679389313 14.1218431914827
DDCFJYA20022005 11202032 11200220 163.890626253418 13.2681838484511
DDCFJYA17220212 11201812 11172202 162.102728922092 10.6416720139334
DDCFJYA19396210 11201932 11193962 153.596031277927 15.261743755424
DDCFJYA18593509 11201832 11185935 140.195599156118 12.743553882307
DDCFJYB19405707 12202012 12194057 141.991756578947 13.2589049896495
DDCFJYA17424412 11201722 11174244 141.449946459413 13.8982549197296
DDCFJYA18904304 11201912 11189043 152.115451733833 15.0358064777255
